"","id","o1","o2","o3","o5","o10","o12"
"163","Z163",96.1,79.9,61.7,94.7,36.2,14.8
"164","Z164",102.1,95.8,85.4,109.5,37,15.3
"165","Z165",99.3,87.3,63.5,89.5,33.3,15.2
"166","Z166",85.9,74.5,61,84.5,28.4,13.2
"167","Z167",101.5,85.6,71.5,97.5,38.2,14.4
"168","Z168",109.2,88.2,69,96.5,35,16.2
"169","Z169",103.9,82.5,66.1,93.8,33.7,14.6
"170","Z170",101.1,86.8,69.8,93.7,34.2,15.1
"171","Z171",96.9,83.6,67.6,99.1,35,15.6
"172","Z172",92.4,77,61.6,89.9,32.4,14.2
"173","Z173",95.1,80.5,67.4,95.1,36.7,15.9
"174","Z174",100.1,85.6,62.7,96,38.5,15.4
"175","Z175",102.6,88.7,72.2,96.1,38.7,15.5
"176","Z176",108.5,88.2,70,96.8,35,16
"177","Z177",106.6,88.2,67.9,100.8,38.5,16
"178","Z178",89.2,78.5,61,82.5,33,14.5
"179","Z179",96.4,82.9,73.6,94.7,30.2,13.6
"180","Z180",97.4,87.1,63.8,94,35.2,16
"181","Z181",110.2,89.9,66,97.1,39,16.2
"182","Z182",99.8,84.5,62.7,93.5,36.1,14.8
"183","Z183",93,86,72.3,97.8,39.7,15.4
"184","Z184",96.6,76.7,63.4,87.7,32.8,13.8
"185","Z185",96.7,91.1,75.8,103.3,35.9,15.5
"186","Z186",102.4,90,79.2,97.4,35.7,14.1
"187","Z187",87,75.5,65,86,31,14
"188","Z188",107.3,88,72.7,95.9,37.6,16.6
"189","Z189",99.5,81.7,66,94.3,34.3,14.4
"190","Z190",108.4,93.2,80.3,101.2,35.6,14.3
"191","Z191",94.5,88,74.5,104,38,16.8
"192","Z192",98,82.6,58.6,89.6,35.8,14.4
"193","Z193",103,85.5,68,99.5,39.4,15.8
"194","Z194",92,83,63,86,31.2,14.4
"195","Z195",100.8,82.6,63.2,89.1,33.4,15.6
"196","Z196",86,78,64.2,89,31.5,14
"197","Z197",102.8,92.2,83,108.1,37.8,16.6
"198","Z198",97.7,77.6,61,91.6,34.5,15.3
"199","Z199",94.9,84.2,66.4,92,31.7,13.4
"200","Z200",98,82.4,70.5,98,30.5,14.6
"201","Z201",93.1,81,59.4,83.3,30.7,15.2
"202","Z202",96.9,84.9,65.6,93.3,35.6,14.7
"203","Z203",97.1,78.1,64,95,34.8,13.4
"204","Z204",99,84.4,63.6,92.7,33.6,14.6
"205","Z205",104.1,89.3,75.5,100.2,37,15.1
"206","Z206",100.8,91,69.3,93.2,34.6,14.6
"207","Z207",94.9,78.8,61.4,94,34.8,15
"208","Z208",100.7,88.2,75.6,95.8,32.6,13.7
"209","Z209",92.8,87.6,74.7,97.7,32.7,15.2
"210","Z210",110.5,96.2,78.5,103,35.2,16.2
"211","Z211",94,80.3,65,84.9,31.6,14.2
"212","Z212",96.1,84.3,59.4,85.8,32.1,15
"213","Z213",93.8,85.5,70.4,93.5,32.8,13.9
"214","Z214",95.6,82.6,65.4,89.3,33.7,14.7
"215","Z215",101.5,83.6,70.5,91.9,36.9,15.7
"216","Z216",96.6,84.5,61.6,87.6,32.9,14.6
"217","Z217",108.4,90.4,78.3,104.9,39.1,16.5
"218","Z218",98.2,85.3,65.5,90.8,35,14.2
"219","Z219",106.3,91.6,81.8,99.3,36.3,15.3
"220","Z220",94.4,82.5,65.6,92.8,34.6,15.8
"221","Z221",103.3,91,70.5,91.5,33.3,14.5
"222","Z222",87,72.6,58,90.2,36.4,13
"223","Z223",88,75,61.2,91,32.5,14
"224","Z224",99.6,85.7,70.8,96.9,35.3,15.4
"225","Z225",91,80,65,91,31.5,13.8
"226","Z226",103,84.6,64.4,91,33,14.2
"227","Z227",90.1,73.5,60.5,88.5,33,13.2
"228","Z228",100.6,87.3,70.4,96.7,33.8,16.3
"229","Z229",98.9,84.9,66,92,35.6,14.5
"230","Z230",101.5,86,70.6,101.9,33.1,15
"231","Z231",94.7,79.4,62,88.5,33,14.5
"232","Z232",117.1,95.2,85,111,40,17.6
"233","Z233",100.5,86.1,68.3,96.5,33.7,15
"234","Z234",98.1,80.2,63.1,93.9,35,14.9
"235","Z235",104.7,89.5,68.7,93.8,37.4,16
"236","Z236",102.5,89,72.4,89.9,34.4,14.6
"237","Z237",109,96.7,81.5,94.9,37.3,14.6
"238","Z238",114.2,92.3,78,106.9,39.7,15.6
"239","Z239",96.4,85.3,68.3,93.8,33,14.9
"240","Z240",103,86,68.2,97.9,38.1,16.2
"241","Z241",91.9,78.1,57.9,86.9,34.1,15.5
"242","Z242",93.3,75.8,62.6,87.4,33,14.4
"243","Z243",112.1,98.1,90.1,95.2,37.2,15.8
"244","Z244",94.8,78,60.4,87,31.5,14.7
"245","Z245",101,85.5,68,101,35.1,15.6
"246","Z246",114,99,85,106.4,38.9,15.9
"247","Z247",98.6,86.5,66.6,96.7,34.9,14.6
"248","Z248",98.5,85.7,71.5,100.5,36.4,15.6
"249","Z249",107.6,97,69.6,98.3,33.8,15.9
"250","Z250",107.1,89.8,71.2,97.5,34,15.4
"251","Z251",89.5,77.5,64.9,88.4,32.6,14
"252","Z252",98.6,85,73.5,104.1,37.4,15.2
"253","Z253",107.3,93,72.3,92,34.2,14.8
"254","Z254",105,76.8,73.6,106.2,39.1,16.2
